density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
PN-C01-005-D0009,PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,211.712303333,212.712303333,1.000000000,2.622216980
PN-C01-006-D0001,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,3.039796810,4.039796810,1.000000000,2.159897061
PN-C01-006-D0002,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,28.039796810,29.039796810,1.000000000,2.683188168
PN-C01-006-D0003,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,53.039796810,54.039796810,1.000000000,2.649472883
PN-C01-006-D0004,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,78.039796810,79.039796810,1.000000000,2.590463405
PN-C01-006-D0005,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,103.039796810,104.039796810,1.000000000,2.640884483
PN-C01-006-D0006,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,128.039796810,129.039796810,1.000000000,2.654956364
PN-C01-006-D0007,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,153.039796810,154.039796810,1.000000000,2.660849978
PN-C01-006-D0008,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,178.039796810,179.039796810,1.000000000,2.604677522
PN-C01-006-D0009,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,203.039796810,204.039796810,1.000000000,2.625904458
PN-C01-006-D0010,PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,228.039796810,229.039796810,1.000000000,2.657809521
PN-C01-007-D0001,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,2.464608921,3.464608921,1.000000000,2.166515826
PN-C01-007-D0002,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,27.464608921,28.464608921,1.000000000,2.709843674
PN-C01-007-D0003,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,52.464608921,53.464608921,1.000000000,2.696936228
PN-C01-007-D0004,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,77.464608921,78.464608921,1.000000000,2.628273329
PN-C01-007-D0005,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,102.464608921,103.464608921,1.000000000,2.625175551
PN-C01-007-D0006,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,127.464608921,128.464608921,1.000000000,2.624455937
PN-C01-007-D0007,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,152.464608921,153.464608921,1.000000000,2.637872029
PN-C01-007-D0008,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,177.464608921,178.464608921,1.000000000,2.644405895
PN-C01-007-D0009,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,202.464608921,203.464608921,1.000000000,2.649489081
PN-C01-007-D0010,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,227.464608921,228.464608921,1.000000000,2.603700951
PN-C01-007-D0011,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,252.464608921,253.464608921,1.000000000,2.567733610
PN-C01-007-D0012,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,277.464608921,278.464608921,1.000000000,2.584759214
PN-C01-007-D0013,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,302.464608921,303.464608921,1.000000000,2.651413647
PN-C01-007-D0014,PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,327.464608921,328.464608921,1.000000000,2.645284433
PN-C01-008-D0001,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,7.026497831,8.026497831,1.000000000,2.177235131
PN-C01-008-D0002,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,32.026497831,33.026497831,1.000000000,2.699608973
PN-C01-008-D0003,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,57.026497831,58.026497831,1.000000000,2.729329959
PN-C01-008-D0004,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,82.026497831,83.026497831,1.000000000,2.703182981
PN-C01-008-D0005,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,107.026497831,108.026497831,1.000000000,2.707896978
PN-C01-008-D0006,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,132.026497831,133.026497831,1.000000000,2.707363271
PN-C01-008-D0007,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,157.026497831,158.026497831,1.000000000,2.709667941
PN-C01-008-D0008,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,182.026497831,183.026497831,1.000000000,2.706108813
PN-C01-008-D0009,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,207.026497831,208.026497831,1.000000000,2.656716730
PN-C01-008-D0010,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,232.026497831,233.026497831,1.000000000,2.694829127
PN-C01-008-D0011,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,257.026497831,258.026497831,1.000000000,2.620912656
PN-C01-008-D0012,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,282.026497831,283.026497831,1.000000000,2.645777977
PN-C01-008-D0013,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,307.026497831,308.026497831,1.000000000,2.610883709
PN-C01-008-D0014,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,332.026497831,333.026497831,1.000000000,2.637178219
PN-C01-008-D0015,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,357.026497831,358.026497831,1.000000000,2.671347280
PN-C01-008-D0016,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,382.026497831,383.026497831,1.000000000,2.644302283
PN-C01-008-D0017,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,407.026497831,408.026497831,1.000000000,2.612984860
PN-C01-008-D0018,PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,432.026497831,433.026497831,1.000000000,2.601580037
PN-C01-009-D0001,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,22.992341649,23.992341649,1.000000000,2.673239996
PN-C01-009-D0002,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,47.992341649,48.992341649,1.000000000,2.631253234
PN-C01-009-D0003,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,72.992341649,73.992341649,1.000000000,2.654570499
PN-C01-009-D0004,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,97.992341649,98.992341649,1.000000000,2.631842670
PN-C01-009-D0005,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,122.992341649,123.992341649,1.000000000,2.639453024
PN-C01-009-D0006,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,147.992341649,148.992341649,1.000000000,2.630861330
PN-C01-009-D0007,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,172.992341649,173.992341649,1.000000000,2.632510623
PN-C01-009-D0008,PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,197.992341649,198.992341649,1.000000000,2.613317129
PN-C01-010-D0001,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,11.818380057,12.818380057,1.000000000,2.627694360
PN-C01-010-D0002,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,36.818380057,37.818380057,1.000000000,2.683517337
PN-C01-010-D0003,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,61.818380057,62.818380057,1.000000000,2.654386446
PN-C01-010-D0004,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,86.818380057,87.818380057,1.000000000,2.635728033
PN-C01-010-D0005,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,111.818380057,112.818380057,1.000000000,2.636849243
PN-C01-010-D0006,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,136.818380057,137.818380057,1.000000000,2.645086481
PN-C01-010-D0007,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,161.818380057,162.818380057,1.000000000,2.652073753
PN-C01-010-D0008,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,186.818380057,187.818380057,1.000000000,2.619158923
PN-C01-010-D0009,PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,211.818380057,212.818380057,1.000000000,2.634605119
PN-C01-011-D0001,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,10.894021435,11.894021435,1.000000000,2.609009699
PN-C01-011-D0002,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,35.894021435,36.894021435,1.000000000,2.651265051
PN-C01-011-D0003,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,60.894021435,61.894021435,1.000000000,2.646039156
PN-C01-011-D0004,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,85.894021435,86.894021435,1.000000000,2.652920316
PN-C01-011-D0005,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,110.894021435,111.894021435,1.000000000,2.603696894
PN-C01-011-D0006,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,135.894021435,136.894021435,1.000000000,2.625434874
PN-C01-011-D0007,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,160.894021435,161.894021435,1.000000000,2.636626322
PN-C01-011-D0008,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,185.894021435,186.894021435,1.000000000,2.615443117
PN-C01-011-D0009,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,210.894021435,211.894021435,1.000000000,2.618496217
PN-C01-011-D0010,PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,235.894021435,236.894021435,1.000000000,2.652113012
PN-C01-012-D0001,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,23.965649116,24.965649116,1.000000000,2.699243841
PN-C01-012-D0002,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,48.965649116,49.965649116,1.000000000,2.661761876
PN-C01-012-D0003,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,73.965649116,74.965649116,1.000000000,2.689759675
PN-C01-012-D0004,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,98.965649116,99.965649116,1.000000000,2.751123573
PN-C01-012-D0005,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,123.965649116,124.965649116,1.000000000,2.707669868
PN-C01-012-D0006,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,148.965649116,149.965649116,1.000000000,2.706676554
PN-C01-012-D0007,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,173.965649116,174.965649116,1.000000000,2.649174600
PN-C01-012-D0008,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,198.965649116,199.965649116,1.000000000,2.634681119
PN-C01-012-D0009,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,223.965649116,224.965649116,1.000000000,2.654362636
PN-C01-012-D0010,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,248.965649116,249.965649116,1.000000000,2.671786849
PN-C01-012-D0011,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,273.965649116,274.965649116,1.000000000,2.647056673
PN-C01-012-D0012,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,298.965649116,299.965649116,1.000000000,2.636359895
PN-C01-012-D0013,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,323.965649116,324.965649116,1.000000000,2.618055807
PN-C01-012-D0014,PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,348.965649116,349.965649116,1.000000000,2.609826558
PN-C01-013-D0001,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,21.498521824,22.498521824,1.000000000,2.707386501
PN-C01-013-D0002,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,46.498521824,47.498521824,1.000000000,2.682825533
PN-C01-013-D0003,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,71.498521824,72.498521824,1.000000000,2.679678843
PN-C01-013-D0004,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,96.498521824,97.498521824,1.000000000,2.682154205
PN-C01-013-D0005,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,121.498521824,122.498521824,1.000000000,2.735492068
PN-C01-013-D0006,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,146.498521824,147.498521824,1.000000000,2.731799421
PN-C01-013-D0007,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,171.498521824,172.498521824,1.000000000,2.712102041
PN-C01-013-D0008,PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,196.498521824,197.498521824,1.000000000,2.711620400
PN-C01-014-D0001,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,5.924618544,6.924618544,1.000000000,2.176744890
PN-C01-014-D0002,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,30.924618544,31.924618544,1.000000000,2.705952221
PN-C01-014-D0003,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,55.924618544,56.924618544,1.000000000,2.635132423
PN-C01-014-D0004,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,80.924618544,81.924618544,1.000000000,2.644964914
PN-C01-014-D0005,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,105.924618544,106.924618544,1.000000000,2.624324716
PN-C01-014-D0006,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,130.924618544,131.924618544,1.000000000,2.649181727
PN-C01-014-D0007,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,155.924618544,156.924618544,1.000000000,2.634377627
PN-C01-014-D0008,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,180.924618544,181.924618544,1.000000000,2.688889489
PN-C01-014-D0009,PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,205.924618544,206.924618544,1.000000000,2.682291317
PN-C01-015-D0001,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,0.276939496,1.276939496,1.000000000,1.082907430
PN-C01-015-D0002,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,25.276939496,26.276939496,1.000000000,2.697890454
PN-C01-015-D0003,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,50.276939496,51.276939496,1.000000000,2.719604339
PN-C01-015-D0004,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,75.276939496,76.276939496,1.000000000,2.720610184
PN-C01-015-D0005,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,100.276939496,101.276939496,1.000000000,2.660548160
PN-C01-015-D0006,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,125.276939496,126.276939496,1.000000000,2.626863159
PN-C01-015-D0007,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,150.276939496,151.276939496,1.000000000,2.659056043
PN-C01-015-D0008,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,175.276939496,176.276939496,1.000000000,2.670754994
PN-C01-015-D0009,PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,200.276939496,201.276939496,1.000000000,2.612421314
PN-C01-016-D0001,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,8.343405492,9.343405492,1.000000000,2.163928585
PN-C01-016-D0002,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,33.343405492,34.343405492,1.000000000,2.694872462
PN-C01-016-D0003,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,58.343405492,59.343405492,1.000000000,2.731281901
PN-C01-016-D0004,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,83.343405492,84.343405492,1.000000000,2.722616366
PN-C01-016-D0005,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,108.343405492,109.343405492,1.000000000,2.700356674
PN-C01-016-D0006,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,133.343405492,134.343405492,1.000000000,2.689506328
PN-C01-016-D0007,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,158.343405492,159.343405492,1.000000000,2.699528167
PN-C01-016-D0008,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,183.343405492,184.343405492,1.000000000,2.693781322
PN-C01-016-D0009,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,208.343405492,209.343405492,1.000000000,2.704509270
PN-C01-016-D0010,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,233.343405492,234.343405492,1.000000000,2.689584421
PN-C01-016-D0011,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,258.343405492,259.343405492,1.000000000,2.693965503
PN-C01-016-D0012,PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,283.343405492,284.343405492,1.000000000,2.699321177
PN-C02-001-D0001,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,16.229050189,17.229050189,1.000000000,2.684349491
PN-C02-001-D0002,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,41.229050189,42.229050189,1.000000000,2.658441471
PN-C02-001-D0003,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,66.229050189,67.229050189,1.000000000,2.620594064
PN-C02-001-D0004,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,91.229050189,92.229050189,1.000000000,2.619996187
PN-C02-001-D0005,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,116.229050189,117.229050189,1.000000000,2.619502539
PN-C02-001-D0006,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,141.229050189,142.229050189,1.000000000,2.663761840
PN-C02-001-D0007,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,166.229050189,167.229050189,1.000000000,2.652177903
PN-C02-001-D0008,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,191.229050189,192.229050189,1.000000000,2.635730308
PN-C02-001-D0009,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,216.229050189,217.229050189,1.000000000,2.639766402
PN-C02-001-D0010,PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,241.229050189,242.229050189,1.000000000,2.667639983
PN-C02-002-D0001,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,15.575032647,16.575032647,1.000000000,2.707557898
PN-C02-002-D0002,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,40.575032647,41.575032647,1.000000000,2.656877815
PN-C02-002-D0003,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,65.575032647,66.575032647,1.000000000,2.670951723
PN-C02-002-D0004,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,90.575032647,91.575032647,1.000000000,2.680764920
PN-C02-002-D0005,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,115.575032647,116.575032647,1.000000000,2.640094547
PN-C02-002-D0006,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,140.575032647,141.575032647,1.000000000,2.644546730
PN-C02-002-D0007,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,165.575032647,166.575032647,1.000000000,2.628640199
PN-C02-002-D0008,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,190.575032647,191.575032647,1.000000000,2.700912266
PN-C02-002-D0009,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,215.575032647,216.575032647,1.000000000,2.622532141
PN-C02-002-D0010,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,240.575032647,241.575032647,1.000000000,2.656708896
PN-C02-002-D0011,PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,265.575032647,266.575032647,1.000000000,2.648536121
PN-C02-003-D0001,PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,8.094253254,9.094253254,1.000000000,2.142940065
PN-C02-003-D0002,PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,33.094253254,34.094253254,1.000000000,2.746568197
PN-C02-003-D0003,PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,58.094253254,59.094253254,1.000000000,2.639122081
PN-C02-003-D0004,PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,83.094253254,84.094253254,1.000000000,2.645048997
PN-C02-003-D0005,PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,108.094253254,109.094253254,1.000000000,2.661120664
