hole_id,dataset_id,project_id,campaign_id,x,y,z,azimuth_deg,dip_deg,final_depth_m
PN-C02-015,DS02,pampa_norte,CAMPAIGN_02,242694.334876721,8196614.752655376,3332.000000000,175.000000000,-83.748145803,234.064932357
PN-C02-016,DS02,pampa_norte,CAMPAIGN_02,242823.840187473,8196626.082901933,3358.000000000,238.434948823,-77.935042499,263.607885757
PN-C02-017,DS02,pampa_norte,CAMPAIGN_02,242953.345498225,8196637.413148491,3412.000000000,250.963756532,-72.691395130,325.237395636
PN-C02-018,DS02,pampa_norte,CAMPAIGN_02,243082.850808977,8196648.743395047,3502.000000000,255.537677792,-71.178607971,422.659149213
PN-C02-019,DS02,pampa_norte,CAMPAIGN_02,242423.994008660,8196721.597473013,3252.000000000,121.869897646,-48.000000000,220.000000000
PN-C02-020,DS02,pampa_norte,CAMPAIGN_02,242553.499319412,8196732.927719571,3278.000000000,141.309932474,-60.446675977,220.000000000
PN-C02-021,DS02,pampa_norte,CAMPAIGN_02,242683.004630164,8196744.257966128,3282.000000000,175.000000000,-65.438118172,220.000000000
PN-C02-022,DS02,pampa_norte,CAMPAIGN_02,242812.509940916,8196755.588212685,3322.000000000,208.690067526,-67.290617360,237.118779921
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,242942.015251668,8196766.918459242,3392.000000000,228.130102354,-67.722860317,312.196909002
PN-C02-024,DS02,pampa_norte,CAMPAIGN_02,243071.520562420,8196778.248705800,3462.000000000,238.434948823,-66.988694014,389.627031185
PN-C02-025,DS02,pampa_norte,CAMPAIGN_02,242412.663762103,8196851.102783766,3218.000000000,136.340191746,-48.000000000,220.000000000
PN-C02-026,DS02,pampa_norte,CAMPAIGN_02,242542.169072855,8196862.433030322,3246.000000000,153.198590513,-48.000000000,220.000000000
PN-C02-027,DS02,pampa_norte,CAMPAIGN_02,242671.674383607,8196873.763276880,3264.000000000,175.000000000,-48.447386852,220.000000000
PN-C02-028,DS02,pampa_norte,CAMPAIGN_02,242801.179694359,8196885.093523437,3308.000000000,196.801409486,-55.710402026,241.395413034
PN-C02-029,DS02,pampa_norte,CAMPAIGN_02,242930.685005111,8196896.423769995,3366.000000000,213.659808254,-59.503334999,301.037090700
PN-C02-030,DS02,pampa_norte,CAMPAIGN_02,243060.190315863,8196907.754016551,3434.000000000,225.194428908,-61.456988092,373.740097885
PN-C03-001,DS02,pampa_norte,CAMPAIGN_03,242460.000000000,8196550.000000000,3286.000000000,90.000000000,-52.000000000,254.493372249
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,242940.000000000,8196550.000000000,3450.000000000,270.000000000,-61.129795474,388.009230643
PN-C03-003,DS02,pampa_norte,CAMPAIGN_03,242700.000000000,8196340.000000000,3396.000000000,0.000000000,-59.455882787,330.990818355
PN-C03-004,DS02,pampa_norte,CAMPAIGN_03,242700.000000000,8196760.000000000,3278.000000000,180.000000000,-52.000000000,235.629792124
PN-C03-005,DS02,pampa_norte,CAMPAIGN_03,242530.000000000,8196400.000000000,3326.000000000,48.576334375,-52.000000000,280.452324848
PN-C03-006,DS02,pampa_norte,CAMPAIGN_03,242870.000000000,8196700.000000000,3352.000000000,228.576334375,-52.094979020,300.940949229
PN-C03-007,DS02,pampa_norte,CAMPAIGN_03,242530.000000000,8196700.000000000,3282.000000000,131.423665625,-52.000000000,245.779851689
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,242870.000000000,8196400.000000000,3518.000000000,311.423665625,-67.045652247,445.301606372
