hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,12.000000000,84.000000000,72.000000000,VOL
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,84.000000000,220.000000000,136.000000000,POR
PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,0.000000000,10.000000000,10.000000000,OVB
PN-C01-016,DS02,pampa_norte,CAMPAIGN_01,10.000000000,303.638991235,293.638991235,VOL
PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,9.000000000,28.000000000,19.000000000,VOL
PN-C02-001,DS02,pampa_norte,CAMPAIGN_02,28.000000000,245.793736795,217.793736795,POR
PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,11.000000000,19.000000000,8.000000000,VOL
PN-C02-002,DS02,pampa_norte,CAMPAIGN_02,19.000000000,272.667751401,253.667751401,POR
PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,10.000000000,43.000000000,33.000000000,VOL
PN-C02-003,DS02,pampa_norte,CAMPAIGN_02,43.000000000,307.860139207,264.860139207,POR
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,0.000000000,1.000000000,1.000000000,OVB
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,1.000000000,2.000000000,1.000000000,AIR
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,2.000000000,12.000000000,10.000000000,OVB
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,12.000000000,133.000000000,121.000000000,VOL
PN-C02-004,DS02,pampa_norte,CAMPAIGN_02,133.000000000,390.450816067,257.450816067,POR
PN-C02-005,DS02,pampa_norte,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
PN-C02-005,DS02,pampa_norte,CAMPAIGN_02,8.000000000,228.000000000,220.000000000,VOL
PN-C02-005,DS02,pampa_norte,CAMPAIGN_02,228.000000000,458.943374745,230.943374745,POR
PN-C02-006,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-006,DS02,pampa_norte,CAMPAIGN_02,11.000000000,274.000000000,263.000000000,VOL
PN-C02-006,DS02,pampa_norte,CAMPAIGN_02,274.000000000,449.328860217,175.328860217,POR
PN-C02-007,DS02,pampa_norte,CAMPAIGN_02,0.000000000,12.000000000,12.000000000,OVB
PN-C02-007,DS02,pampa_norte,CAMPAIGN_02,12.000000000,220.000000000,208.000000000,POR
PN-C02-008,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-008,DS02,pampa_norte,CAMPAIGN_02,10.000000000,226.631145192,216.631145192,POR
PN-C02-009,DS02,pampa_norte,CAMPAIGN_02,0.000000000,12.000000000,12.000000000,OVB
PN-C02-009,DS02,pampa_norte,CAMPAIGN_02,12.000000000,271.878422163,259.878422163,POR
PN-C02-010,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-010,DS02,pampa_norte,CAMPAIGN_02,10.000000000,53.000000000,43.000000000,VOL
PN-C02-010,DS02,pampa_norte,CAMPAIGN_02,53.000000000,336.398738448,283.398738448,POR
PN-C02-011,DS02,pampa_norte,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
PN-C02-011,DS02,pampa_norte,CAMPAIGN_02,8.000000000,131.000000000,123.000000000,VOL
PN-C02-011,DS02,pampa_norte,CAMPAIGN_02,131.000000000,386.885899068,255.885899068,POR
PN-C02-012,DS02,pampa_norte,CAMPAIGN_02,0.000000000,15.000000000,15.000000000,OVB
PN-C02-012,DS02,pampa_norte,CAMPAIGN_02,15.000000000,212.000000000,197.000000000,VOL
PN-C02-012,DS02,pampa_norte,CAMPAIGN_02,212.000000000,416.985151629,204.985151629,POR
PN-C02-013,DS02,pampa_norte,CAMPAIGN_02,0.000000000,12.000000000,12.000000000,OVB
PN-C02-013,DS02,pampa_norte,CAMPAIGN_02,12.000000000,220.000000000,208.000000000,POR
PN-C02-014,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-014,DS02,pampa_norte,CAMPAIGN_02,10.000000000,220.000000000,210.000000000,POR
PN-C02-015,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-015,DS02,pampa_norte,CAMPAIGN_02,10.000000000,234.064932357,224.064932357,POR
PN-C02-016,DS02,pampa_norte,CAMPAIGN_02,0.000000000,10.000000000,10.000000000,OVB
PN-C02-016,DS02,pampa_norte,CAMPAIGN_02,10.000000000,263.607885757,253.607885757,POR
PN-C02-017,DS02,pampa_norte,CAMPAIGN_02,0.000000000,15.000000000,15.000000000,OVB
PN-C02-017,DS02,pampa_norte,CAMPAIGN_02,15.000000000,71.000000000,56.000000000,VOL
PN-C02-017,DS02,pampa_norte,CAMPAIGN_02,71.000000000,325.237395636,254.237395636,POR
PN-C02-018,DS02,pampa_norte,CAMPAIGN_02,0.000000000,13.000000000,13.000000000,OVB
PN-C02-018,DS02,pampa_norte,CAMPAIGN_02,13.000000000,217.000000000,204.000000000,VOL
PN-C02-018,DS02,pampa_norte,CAMPAIGN_02,217.000000000,422.659149213,205.659149213,POR
PN-C02-019,DS02,pampa_norte,CAMPAIGN_02,0.000000000,8.000000000,8.000000000,OVB
PN-C02-019,DS02,pampa_norte,CAMPAIGN_02,8.000000000,220.000000000,212.000000000,POR
PN-C02-020,DS02,pampa_norte,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
PN-C02-020,DS02,pampa_norte,CAMPAIGN_02,9.000000000,220.000000000,211.000000000,POR
PN-C02-021,DS02,pampa_norte,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
PN-C02-021,DS02,pampa_norte,CAMPAIGN_02,9.000000000,220.000000000,211.000000000,POR
PN-C02-022,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-022,DS02,pampa_norte,CAMPAIGN_02,11.000000000,237.118779921,226.118779921,POR
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,0.000000000,1.000000000,1.000000000,OVB
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,1.000000000,2.000000000,1.000000000,AIR
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,2.000000000,15.000000000,13.000000000,OVB
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,15.000000000,89.000000000,74.000000000,VOL
PN-C02-023,DS02,pampa_norte,CAMPAIGN_02,89.000000000,312.196909002,223.196909002,POR
PN-C02-024,DS02,pampa_norte,CAMPAIGN_02,0.000000000,13.000000000,13.000000000,OVB
PN-C02-024,DS02,pampa_norte,CAMPAIGN_02,13.000000000,218.000000000,205.000000000,VOL
PN-C02-024,DS02,pampa_norte,CAMPAIGN_02,218.000000000,389.627031185,171.627031185,POR
PN-C02-025,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-025,DS02,pampa_norte,CAMPAIGN_02,11.000000000,74.000000000,63.000000000,VOL
PN-C02-025,DS02,pampa_norte,CAMPAIGN_02,74.000000000,220.000000000,146.000000000,POR
PN-C02-026,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-026,DS02,pampa_norte,CAMPAIGN_02,11.000000000,21.000000000,10.000000000,VOL
PN-C02-026,DS02,pampa_norte,CAMPAIGN_02,21.000000000,220.000000000,199.000000000,POR
PN-C02-027,DS02,pampa_norte,CAMPAIGN_02,0.000000000,11.000000000,11.000000000,OVB
PN-C02-027,DS02,pampa_norte,CAMPAIGN_02,11.000000000,13.000000000,2.000000000,VOL
PN-C02-027,DS02,pampa_norte,CAMPAIGN_02,13.000000000,220.000000000,207.000000000,POR
PN-C02-028,DS02,pampa_norte,CAMPAIGN_02,0.000000000,15.000000000,15.000000000,OVB
PN-C02-028,DS02,pampa_norte,CAMPAIGN_02,15.000000000,57.000000000,42.000000000,VOL
PN-C02-028,DS02,pampa_norte,CAMPAIGN_02,57.000000000,241.395413034,184.395413034,POR
PN-C02-029,DS02,pampa_norte,CAMPAIGN_02,0.000000000,16.000000000,16.000000000,OVB
PN-C02-029,DS02,pampa_norte,CAMPAIGN_02,16.000000000,145.000000000,129.000000000,VOL
PN-C02-029,DS02,pampa_norte,CAMPAIGN_02,145.000000000,301.037090700,156.037090700,POR
PN-C02-030,DS02,pampa_norte,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,OVB
PN-C02-030,DS02,pampa_norte,CAMPAIGN_02,9.000000000,279.000000000,270.000000000,VOL
PN-C02-030,DS02,pampa_norte,CAMPAIGN_02,279.000000000,373.740097885,94.740097885,POR
PN-C03-001,DS02,pampa_norte,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
PN-C03-001,DS02,pampa_norte,CAMPAIGN_03,10.000000000,254.493372249,244.493372249,POR
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,0.000000000,1.000000000,1.000000000,OVB
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,1.000000000,2.000000000,1.000000000,AIR
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,2.000000000,16.000000000,14.000000000,OVB
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,16.000000000,17.000000000,1.000000000,VOL
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,17.000000000,18.000000000,1.000000000,OVB
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,18.000000000,19.000000000,1.000000000,VOL
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,19.000000000,21.000000000,2.000000000,OVB
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,21.000000000,96.000000000,75.000000000,VOL
PN-C03-002,DS02,pampa_norte,CAMPAIGN_03,96.000000000,388.009230643,292.009230643,POR
PN-C03-003,DS02,pampa_norte,CAMPAIGN_03,0.000000000,2.000000000,2.000000000,AIR
PN-C03-003,DS02,pampa_norte,CAMPAIGN_03,2.000000000,16.000000000,14.000000000,OVB
PN-C03-003,DS02,pampa_norte,CAMPAIGN_03,16.000000000,45.000000000,29.000000000,VOL
PN-C03-003,DS02,pampa_norte,CAMPAIGN_03,45.000000000,330.990818355,285.990818355,POR
PN-C03-004,DS02,pampa_norte,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
PN-C03-004,DS02,pampa_norte,CAMPAIGN_03,10.000000000,235.629792124,225.629792124,POR
PN-C03-005,DS02,pampa_norte,CAMPAIGN_03,0.000000000,13.000000000,13.000000000,OVB
PN-C03-005,DS02,pampa_norte,CAMPAIGN_03,13.000000000,280.452324848,267.452324848,POR
PN-C03-006,DS02,pampa_norte,CAMPAIGN_03,0.000000000,15.000000000,15.000000000,OVB
PN-C03-006,DS02,pampa_norte,CAMPAIGN_03,15.000000000,300.940949229,285.940949229,POR
PN-C03-007,DS02,pampa_norte,CAMPAIGN_03,0.000000000,10.000000000,10.000000000,OVB
PN-C03-007,DS02,pampa_norte,CAMPAIGN_03,10.000000000,245.779851689,235.779851689,POR
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,0.000000000,15.000000000,15.000000000,OVB
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,15.000000000,16.000000000,1.000000000,VOL
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,16.000000000,17.000000000,1.000000000,OVB
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,17.000000000,160.000000000,143.000000000,VOL
PN-C03-008,DS02,pampa_norte,CAMPAIGN_03,160.000000000,445.301606372,285.301606372,POR
